Date,year_month,usd_ngn_rate,oil_price,external_reserves,mpr,fx_return,oil_return,reserves_change,mpr_change,volatility,spike
2007-12-01,2007-12,118.11,91.45,44670574459.43445,9.5,-1.1218082879866031,-1.1652469517867026,0.7130221451291385,0.5,1.1380278673838629,0
2008-01-01,2008-01,117.72,91.92045454545,59350233859.9,9.5,-0.33020066040132523,0.5144390874248117,32.86203407524169,0.0,1.552591235694538,1
2008-02-01,2008-02,117.5,94.81666666667,58535165873.17375,9.5,-0.1868841318382608,3.150780895875549,-1.3733189133681711,0.0,0.5035317668165278,0
2008-03-01,2008-03,116.79,103.2775,58230470687.00112,9.5,-0.6042553191489275,8.923360871854147,-0.5205335658103438,0.0,0.2120708573950942,0
2008-04-01,2008-04,117.47,110.18772727273,57884931177.619,10.0,0.5822416302765587,6.690931977177983,-0.5933998219582515,0.5,0.6018759779419949,0
2008-05-01,2008-05,117.79,123.93619047619,58986452948.53,10.0,0.2724099770154087,12.47730899234416,1.9029508172532683,0.0,0.6154013197171174,0
2008-06-01,2008-06,117.74,133.04857142857,59131329731.07714,10.25,-0.042448425163432724,7.352477849583905,0.24561026355247595,0.25,0.312348398467364,0
2008-07-01,2008-07,117.71,133.87304347826,58410854889.64223,10.25,-0.025479870901989887,0.6196774913382885,-1.2184316583299548,0.0,0.1770885403541502,0
2008-08-01,2008-08,117.69,113.84904761905,59400291377.9575,10.25,-0.016990909863223713,-14.957451731096072,1.693925709843902,0.0,0.012961991735424833,0
2008-09-01,2008-09,117.62,99.06409090909,59828498616.700005,9.75,-0.05947829042398656,-12.986456205968366,0.7208840711198983,-0.5,0.022483818241942406,0
2008-10-01,2008-10,117.72,72.84260869565,59246602427.73222,9.75,0.08501955449753407,-26.46920995570752,-0.972607039156681,0.0,0.07426410026943256,0
2008-11-01,2008-11,117.88,53.241,59469863066.093,9.75,0.13591573224600584,-26.909536940870936,0.3768328127053522,0.0,0.10136474748116565,0
2008-12-01,2008-12,134.33,41.58090909091,60140999345.191246,9.75,13.954869358669853,-21.9005858437858,1.128531737751537,0.0,7.993109567417647,1
2009-01-01,2009-01,146.59,44.86,42517276696.15333,9.75,9.12677733938807,7.88604910470041,-29.3040069851235,0.0,7.013196421921158,1
2009-02-01,2009-02,149.12,43.2425,44011082117.68833,9.75,1.7259021761375282,-3.6056620597414213,3.5134080487101205,0.0,6.1594245413042135,1
2009-03-01,2009-03,148.975,46.83909090909,43120414302.76,9.75,-0.09723712446352284,8.317259430167079,-2.0237353231775335,0.0,4.884998002741968,1
2009-04-01,2009-04,148.82999999999998,50.84523809524,43209325201.957504,8.0,-0.09733176707501512,8.55299944639305,0.20619212647920993,-1.75,1.0526172880044868,0
2009-05-01,2009-05,148.685,57.94095238095,44940056707.175,8.0,-0.09742659410063581,13.955513931154705,4.0054583058823034,0.0,9.473469690692959e-05,0
2009-06-01,2009-06,148.54,68.61681818182,44754796367.574,8.0,-0.09752160607997551,18.425423404638465,-0.41223877577223345,0.0,9.491938115382167e-05,0
2009-07-01,2009-07,149.88,64.91,44651324521.513336,6.0,0.902113908711466,-5.402200626671028,-0.23119722232861628,-2.0,0.5771124079156713,0
2009-08-01,2009-08,155.23,72.50476190476,44809611936.976,6.0,3.569522284494253,11.700449706917283,0.35449657352581987,0.0,1.8956770778548648,1
2009-09-01,2009-09,153.25,67.68681818182,44767482105.78,6.0,-1.2755266378921548,-6.645003164438634,-0.0940196296617235,0.0,2.4266466867444136,1
2009-10-01,2009-10,150.22,73.19409090909,43243766823.34599,6.0,-1.9771615008156607,8.136403623636701,-3.4036206879664466,0.0,3.0202784517161976,1
2009-11-01,2009-11,151.03,77.03666666667,42963676374.455,6.0,0.5392091598988236,5.2498442290275005,-0.6477013208289195,0.0,1.2985683654675404,0
2009-12-01,2009-12,149.8,74.66954545455,45909666616.4825,6.0,-0.8144077335628608,-3.0727201922719383,6.85693239179852,0.0,1.2593911438753471,0
2010-01-01,2010-01,150.33,76.373,37900644220.27125,6.0,0.3538050734312348,2.2813243807501937,-17.445176553157214,0.0,0.7338681230267255,0
2010-02-01,2010-02,150.97,74.312,37328901610.795,6.0,0.42573006053348017,-2.698597671952141,-1.5085300559889991,0.0,0.6961604358360541,0
2010-03-01,2010-03,150.08,79.2747826087,37662712451.38286,6.0,-0.5895210969066644,6.678305803504148,0.8942423328398341,0.0,0.5665351386715314,0
