Date,year_month,mpr
2022-08-01,2022-08,14.0
2022-09-01,2022-09,15.5
2022-10-01,2022-10,15.5
2022-11-01,2022-11,16.5
2022-12-01,2022-12,16.5
2023-01-01,2023-01,17.5
2023-02-01,2023-02,17.5
2023-03-01,2023-03,18.0
2023-04-01,2023-04,18.0
2023-05-01,2023-05,18.5
2023-06-01,2023-06,18.5
2023-07-01,2023-07,18.75
2023-08-01,2023-08,18.75
2023-09-01,2023-09,18.75
2023-10-01,2023-10,18.75
2023-11-01,2023-11,18.75
2023-12-01,2023-12,18.75
2024-01-01,2024-01,18.75
2024-02-01,2024-02,22.75
2024-03-01,2024-03,24.75
2024-04-01,2024-04,24.75
2024-05-01,2024-05,26.25
2024-06-01,2024-06,26.25
2024-07-01,2024-07,26.75
2024-08-01,2024-08,26.75
2024-09-01,2024-09,27.25
2024-10-01,2024-10,27.25
2024-11-01,2024-11,27.5
2024-12-01,2024-12,27.5
