threshold,accuracy,precision,recall,f1_score
-1.9022169,0.21212121212121213,0.21212121212121213,1.0,0.35
-1.8248245,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.747432,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.6700397,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.5926472,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.5152547,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.4378623,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.3604698,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.2830775,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.2056849,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.1282926,0.24242424242424243,0.21875,1.0,0.358974358974359
-1.0509001,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.97350764,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.8961152,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.81872284,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.7413304,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.6639379,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.58654547,0.2727272727272727,0.22580645161290322,1.0,0.3684210526315789
-0.509153,0.30303030303030304,0.23333333333333334,1.0,0.3783783783783784
-0.43176067,0.30303030303030304,0.23333333333333334,1.0,0.3783783783783784
-0.3543682,0.36363636363636365,0.25,1.0,0.4
-0.27697575,0.36363636363636365,0.25,1.0,0.4
-0.19958329,0.36363636363636365,0.25,1.0,0.4
-0.12219083,0.36363636363636365,0.25,1.0,0.4
-0.044798374,0.36363636363636365,0.25,1.0,0.4
0.032593966,0.3939393939393939,0.25925925925925924,1.0,0.4117647058823529
0.10998654,0.45454545454545453,0.28,1.0,0.4375
0.18737888,0.45454545454545453,0.28,1.0,0.4375
0.26477122,0.45454545454545453,0.28,1.0,0.4375
0.3421638,0.5151515151515151,0.30434782608695654,1.0,0.4666666666666667
0.41955614,0.5454545454545454,0.3181818181818182,1.0,0.4827586206896552
0.49694872,0.5454545454545454,0.3181818181818182,1.0,0.4827586206896552
0.57434106,0.5757575757575758,0.3333333333333333,1.0,0.5
0.6517334,0.6060606060606061,0.35,1.0,0.5185185185185185
0.729126,0.6060606060606061,0.35,1.0,0.5185185185185185
0.8065183,0.6666666666666666,0.3888888888888889,1.0,0.56
0.8839109,0.696969696969697,0.4117647058823529,1.0,0.5833333333333334
0.96130323,0.696969696969697,0.4117647058823529,1.0,0.5833333333333334
1.0386956,0.696969696969697,0.4,0.8571428571428571,0.5454545454545454
1.1160882,0.696969696969697,0.4,0.8571428571428571,0.5454545454545454
1.1934805,0.7878787878787878,0.5,0.8571428571428571,0.631578947368421
1.2708731,0.7878787878787878,0.5,0.8571428571428571,0.631578947368421
1.3482654,0.7878787878787878,0.5,0.8571428571428571,0.631578947368421
1.4256577,0.8484848484848485,0.6,0.8571428571428571,0.7058823529411765
1.5030503,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.625
1.5804427,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.625
1.6578352,0.8181818181818182,0.5714285714285714,0.5714285714285714,0.5714285714285714
1.7352276,0.8787878787878788,0.8,0.5714285714285714,0.6666666666666666
1.8126202,0.8787878787878788,0.8,0.5714285714285714,0.6666666666666666
1.8900125,0.8787878787878788,0.8,0.5714285714285714,0.6666666666666666
1.9674048,0.8484848484848485,0.75,0.42857142857142855,0.5454545454545454
2.0447974,0.8484848484848485,0.75,0.42857142857142855,0.5454545454545454
2.12219,0.8787878787878788,1.0,0.42857142857142855,0.6
2.199582,0.8787878787878788,1.0,0.42857142857142855,0.6
2.2769747,0.8787878787878788,1.0,0.42857142857142855,0.6
2.3543673,0.8787878787878788,1.0,0.42857142857142855,0.6
2.4317594,0.8787878787878788,1.0,0.42857142857142855,0.6
2.509152,0.8787878787878788,1.0,0.42857142857142855,0.6
2.5865445,0.8484848484848485,1.0,0.2857142857142857,0.4444444444444444
2.6639366,0.8484848484848485,1.0,0.2857142857142857,0.4444444444444444
2.7413292,0.8484848484848485,1.0,0.2857142857142857,0.4444444444444444
2.8187218,0.8484848484848485,1.0,0.2857142857142857,0.4444444444444444
2.8961143,0.8484848484848485,1.0,0.2857142857142857,0.4444444444444444
