,Date,usd_ngn_rate,oil_price,external_reserves,mpr,fx_return,oil_return,reserves_change,mpr_change,volatility,spike
count,225,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
mean,2015-08-01 11:24:48,317.44424035134745,77.55934863722781,38882981257.12001,12.598888888888888,1.2506395635133423,0.5302020983971599,0.1446234692180413,0.06444444444444444,2.0140878052503393,0.24888888888888888
min,2006-04-01 00:00:00,116.79,23.34,26070440164.15,6.0,-18.154463532534525,-40.03636363636364,-29.3040069851235,-4.0,0.0,0.0
25%,2010-12-01 00:00:00,152.62,59.27,35024668898.815,10.25,-0.07771215418090893,-4.49372056514914,-0.8715105921197064,0.0,0.04677545274036652,0.0
50%,2015-08-01 00:00:00,197.0,74.66954545455,37917916326.375,12.0,0.0,1.425989035417441,0.07462862628098144,0.0,0.4945200899198606,0.0
75%,2020-04-01 00:00:00,361.0,96.29428571429,43409222906.44334,14.0,0.6050605060506031,6.956870076111632,0.8871781650857002,0.0,1.5484057626087717,0.0
max,2024-12-01 00:00:00,1670.2764285714286,133.87304347826,60140999345.191246,27.5,59.87366746927503,32.90488431876606,40.640640551883614,4.0,40.76304700841143,1.0
std,,312.33420559715984,24.103844105114703,7085328709.565421,4.223056517406125,5.804976780754509,9.300592376925426,5.728852699906177,0.6043575232203334,5.095681400204154,0.4333333333333333
