threshold,accuracy,precision,recall,f1_score
0.1,0.5454545454545454,0.2777777777777778,0.7142857142857143,0.4
0.11,0.5454545454545454,0.2777777777777778,0.7142857142857143,0.4
0.12,0.6060606060606061,0.3125,0.7142857142857143,0.43478260869565216
0.13,0.6363636363636364,0.3333333333333333,0.7142857142857143,0.45454545454545453
0.13999999999999999,0.6666666666666666,0.35714285714285715,0.7142857142857143,0.47619047619047616
0.14999999999999997,0.696969696969697,0.38461538461538464,0.7142857142857143,0.5
0.15999999999999998,0.696969696969697,0.38461538461538464,0.7142857142857143,0.5
0.16999999999999998,0.696969696969697,0.38461538461538464,0.7142857142857143,0.5
0.17999999999999997,0.7272727272727273,0.4166666666666667,0.7142857142857143,0.5263157894736842
0.18999999999999995,0.7272727272727273,0.4166666666666667,0.7142857142857143,0.5263157894736842
0.19999999999999996,0.7272727272727273,0.4166666666666667,0.7142857142857143,0.5263157894736842
0.20999999999999996,0.7272727272727273,0.4166666666666667,0.7142857142857143,0.5263157894736842
0.21999999999999995,0.7575757575757576,0.45454545454545453,0.7142857142857143,0.5555555555555556
0.22999999999999995,0.7575757575757576,0.45454545454545453,0.7142857142857143,0.5555555555555556
0.23999999999999994,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.625
0.24999999999999992,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.625
0.2599999999999999,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.625
0.2699999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.2799999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.2899999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.29999999999999993,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.30999999999999994,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.3199999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.32999999999999985,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.33999999999999986,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.34999999999999987,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.3599999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.3699999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.3799999999999999,0.8484848484848485,0.625,0.7142857142857143,0.6666666666666666
0.3899999999999999,0.8787878787878788,0.7142857142857143,0.7142857142857143,0.7142857142857143
0.3999999999999998,0.8787878787878788,0.7142857142857143,0.7142857142857143,0.7142857142857143
